Coll. No.,Family,Scientific Name,Common Name,Locality and habitat description,Habit,GPSN,GPSE,Altitude,Date,Collector,Identifier,Note
5114,Vitaceae,Ampelopsis japonica (Thunb.) Makino,白斂,"苗栗縣 (Miaoli county), 通霄鎮 (Tonghsiao town)",fruiting,,,,24 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 王秋美 (C. M. Wang), 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)",,
5115,Apocynaceae,Cynanchum formosanum (Maxim.) Hemsl.,台灣牛皮消,"苗栗縣 (Miaoli county), 通霄鎮 (Tonghsiao town)",flowering,,,,24 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 王秋美 (C. M. Wang), 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)",,
5116,Compositae,Dendranthema lavandulifolium var. tomentellum,新竹油菊,"苗栗縣 (Miaoli county), 通霄鎮 (Tonghsiao town), 雞油窩 (Chiyuwo)",flowering,,,,24 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 王秋美 (C. M. Wang), 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)",,
5117,Compositae,Solidago decurrens Lour.,一枝黃花,"苗栗縣 (Miaoli county), 通霄鎮 (Tonghsiao town), 雞油窩 (Chiyuwo)",flowering,,,,24 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 王秋美 (C. M. Wang), 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)",,
5118,Leguminosae,Phyllodium pulchellum (L.) Desv.,排錢樹,"苗栗縣 (Miaoli county), 通霄鎮 (Tonghsiao town)",fruiting,,,,24 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 王秋美 (C. M. Wang), 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)",,
5119,Compositae,Artemisia lancea Vaniot,小艾,"苗栗縣 (Miaoli county), 通霄鎮 (Tonghsiao town)",flowering,,,,24 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 王秋美 (C. M. Wang), 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)",,
5120,Polygalaceae,Polygala chinensis L.,華南遠志,"台中市 (Taichung city), 卓蘭區 (Choulan district), 卓蘭第一公墓 (first public cemetery of Choulan)",flowering,,,,24 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 王秋美 (C. M. Wang), 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)",,
5121,Leguminosae,Tadehagi triquetrum subsp. pseudotriquetrum (DC.) H.Ohashi,葫蘆茶,"台中市 (Taichung city), 卓蘭區 (Choulan district), 卓蘭第一公墓 (first public cemetery of Choulan)",flowering,,,,24 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 王秋美 (C. M. Wang), 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)",,
5122,Poaceae,Pennisetum polystachion (L.) Schult.,牧地狼尾草,"台中市 (Taichung city), 卓蘭區 (Choulan district), 卓蘭第一公墓 (first public cemetery of Choulan)",fruiting,,,,24 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 王秋美 (C. M. Wang), 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)",,
5123,Commelinaceae,Floscopa scandans,蔓蘘荷,"南投縣 (Nantou county), 魚池鄉 (Yuchih township), 澀水社區 (Seshui community), a trail",flowering,,,,9 Nov. 2019,趙建棣 (C. T. Chao) accompanied with Joonhyung Jung,,
5124,Commelinaceae,Murdannia nudiflora (L.) Brenan,裸花水竹葉,"屏東縣 (Pingtung county), 內埔鄉 (Neipu township), 屏東科技大學 (National Pingtung University of Science and Technoogy), 停車場 (parking lot)",flowering,,,,10 Nov. 2019,趙建棣 (C. T. Chao) accompanied with Joonhyung Jung,,
5125,Compositae,Artemisia japonica Thunb.,牡蒿,"台東縣 (Taitung county), 綠島鄉 (Lutao township)",flowering,,,,18 Apr. 2020,趙建棣 (C. T. Chao),,
5126,Labiatae,Suzukia luchuensis Kudô,琉球鈴木草,"台東縣 (Taitung county), 綠島鄉 (Lutao township), 公館鼻 (Kungkuangpi)",flowering,,,,18 Apr. 2020,趙建棣 (C. T. Chao),,
5127,Labiatae,Suzukia luchuensis Kudô,琉球鈴木草,"台東縣 (Taitung county), 綠島鄉 (Lutao township), 白色恐怖紀念園區 (White Terror Memorial Park)",flowering,,,,18 Apr. 2020,趙建棣 (C. T. Chao),,
5128,Selaginellaceae,Selaginella ciliaris (Retz.) Spring,緣毛卷柏,"台東縣 (Taitung county), 綠島鄉 (Lutao township)",sporing,,,,18 Apr. 2020,趙建棣 (C. T. Chao),,
5129,Convolvulaceae,Ipomoea littoralis Blume,海牽牛,"台東縣 (Taitung county), 綠島鄉 (Lutao township), 柴口 (Chaiko)",flowering,,,,18 Apr. 2020,趙建棣 (C. T. Chao),,
5130,Begoniaceae,Begonia fenicis Merr.,蘭嶼秋海棠,"台東縣 (Taitung county), 綠島鄉 (Lutao township)",flowering and fruiting,,,,18 Apr. 2020,趙建棣 (C. T. Chao),,
5131,Poaceae,Capillipedium kwashotensis (Hayata) C.C. Hsu,綠島細柄草,"台東縣 (Taitung county), 綠島鄉 (Lutao township), 綠島燈塔 (Lutao lighthouse)",flowering,,,,18 Apr. 2020,趙建棣 (C. T. Chao),,
5132,Euphorbiaceae,Mallotus repandus (Rottler) Müll. Arg.,扛香藤,"新竹縣 (Hsinchu county), 竹東鎮 (Jutung town), 竹中車站 (Chuchung train station)",flowering,,,,2 May. 2020,趙建棣 (C. T. Chao) accompanied 劉世強 (S. C. Liu),,
